key,timestamp,temperature,humidity
H5074_office,2025-01-05 02:52:10,25.26,39.24
H5074_office,2025-01-05 02:52:26,25.29,39.37
H5074_office,2025-01-05 02:52:42,25.31,39.32
H5074_office,2025-01-05 02:52:58,25.35,39.21
H5074_office,2025-01-05 02:53:14,25.32,39.18
H5074_office,2025-01-05 02:53:30,25.26,39.33
H5074_office,2025-01-05 02:53:46,25.27,39.28
H5074_office,2025-01-05 02:54:02,25.31,39.43
H5074_office,2025-01-05 02:54:18,25.35,39.47
H5074_office,2025-01-05 02:54:34,25.33,39.37
H5074_office,2025-01-05 02:54:50,25.35,39.32
H5074_office,2025-01-05 02:55:09,25.31,39.28
H5074_office,2025-01-05 02:55:25,25.29,39.3
H5074_office,2025-01-05 02:55:41,25.32,39.33
H5074_office,2025-01-05 02:55:57,25.31,39.25
H5074_office,2025-01-05 02:56:13,25.27,39.25
H5074_office,2025-01-05 02:56:29,25.28,39.22
H5074_office,2025-01-05 02:56:45,25.33,39.38
H5074_office,2025-01-05 02:57:01,25.25,39.23
H5074_office,2025-01-05 02:57:17,25.3,39.38
H5074_office,2025-01-05 02:57:33,25.3,39.36
H5074_office,2025-01-05 02:57:49,25.28,39.19
H5074_office,2025-01-05 02:58:05,25.29,39.26
H5074_office,2025-01-05 02:58:26,25.32,39.32
H5074_office,2025-01-05 02:58:42,25.3,39.23
H5074_office,2025-01-05 02:58:58,25.3,39.13
H5074_office,2025-01-05 02:59:14,25.33,39.16
H5074_office,2025-01-05 02:59:30,25.28,39.27
H5074_office,2025-01-05 02:59:46,25.3,39.26
H5074_office,2025-01-05 03:00:04,25.29,39.13
H5074_office,2025-01-05 03:00:20,25.29,39.24
H5074_office,2025-01-05 03:00:36,25.3,39.1
H5074_office,2025-01-05 03:00:52,25.32,39.12
H5074_office,2025-01-05 03:01:08,25.29,39.15
H5074_office,2025-01-05 03:01:24,25.32,39.26
H5074_office,2025-01-05 03:01:40,25.33,39.16
H5074_office,2025-01-05 03:01:57,25.28,39.16
H5074_office,2025-01-05 03:02:15,25.3,39.26
H5074_office,2025-01-05 03:02:31,25.3,39.18
H5074_office,2025-01-05 03:02:47,25.28,39.23
H5074_office,2025-01-05 03:03:03,25.3,39.15
H5074_office,2025-01-05 03:03:21,25.26,39.08
H5074_office,2025-01-05 03:03:37,25.33,39.31
H5074_office,2025-01-05 03:03:53,25.31,39.09
H5074_office,2025-01-05 03:04:09,25.23,39.01
H5074_office,2025-01-05 03:04:29,25.26,38.96
H5074_office,2025-01-05 03:04:45,25.24,39.06
H5074_office,2025-01-05 03:05:03,25.19,39.08
H5074_office,2025-01-05 03:05:22,25.2,39.25
H5074_office,2025-01-05 03:05:38,25.14,39.08
H5074_office,2025-01-05 03:05:54,25.19,39.16
H5074_office,2025-01-05 03:06:10,25.19,39.16
H5074_office,2025-01-05 03:06:28,25.22,39.1
H5074_office,2025-01-05 03:06:44,25.19,39.11
H5074_office,2025-01-05 03:07:00,25.19,39.2
H5074_office,2025-01-05 03:07:16,25.18,39.18
H5074_office,2025-01-05 03:07:34,25.25,39.17
H5074_office,2025-01-05 03:07:50,25.23,39.14
H5074_office,2025-01-05 03:08:06,25.17,39.14
H5074_office,2025-01-05 03:08:22,25.22,39.08
H5074_office,2025-01-05 03:08:38,25.18,39.06
H5074_office,2025-01-05 03:08:55,25.29,39.09
H5074_office,2025-01-05 03:09:13,25.22,39.03
H5074_office,2025-01-05 03:09:29,25.17,39.15
H5074_office,2025-01-05 03:09:45,25.16,39.07
H5074_office,2025-01-05 03:10:07,25.15,39.11
H5074_office,2025-01-05 03:10:25,25.24,39.12
H5074_office,2025-01-05 03:10:41,25.14,38.96
H5074_office,2025-01-05 03:10:57,25.15,39.13
H5074_office,2025-01-05 03:11:13,25.22,39.21
H5074_office,2025-01-05 03:11:31,25.17,38.92
H5074_office,2025-01-05 03:11:49,25.21,39.19
H5074_office,2025-01-05 03:12:07,25.19,39.14
H5074_office,2025-01-05 03:12:26,25.22,39.03
H5074_office,2025-01-05 03:12:42,25.18,39.04
H5074_office,2025-01-05 03:13:00,25.2,39.27
H5074_office,2025-01-05 03:13:16,25.23,39.16
H5074_office,2025-01-05 03:13:32,25.22,39.16
H5074_office,2025-01-05 03:13:48,25.18,39.01
H5074_office,2025-01-05 03:14:04,25.2,39.25
H5074_office,2025-01-05 03:14:20,25.16,39.14
H5074_office,2025-01-05 03:14:36,25.18,39.19
H5074_office,2025-01-05 03:14:54,25.18,39.23
H5074_office,2025-01-05 03:15:10,25.22,39.13
H5074_office,2025-01-05 03:15:30,25.18,39.07
H5074_office,2025-01-05 03:15:49,25.18,39.13
H5074_office,2025-01-05 03:16:09,25.22,39.23
H5074_office,2025-01-05 03:16:27,25.2,39.04
H5074_office,2025-01-05 03:16:43,25.17,39.06
H5074_office,2025-01-05 03:16:59,25.17,39.18
H5074_office,2025-01-05 03:17:15,25.18,39.14
H5074_office,2025-01-05 03:17:31,25.19,39.13
H5074_office,2025-01-05 03:17:47,25.15,39.15
H5074_office,2025-01-05 03:18:03,25.11,39.17
H5074_office,2025-01-05 03:18:19,25.14,39.15
H5074_office,2025-01-05 03:18:35,25.12,39.12
H5074_office,2025-01-05 03:18:51,25.14,39.15
H5074_office,2025-01-05 03:19:07,25.15,39.07
H5074_office,2025-01-05 03:19:24,25.17,39.13
H5074_office,2025-01-05 03:19:40,25.18,39.17
H5074_office,2025-01-05 03:19:56,25.16,39.15
H5074_office,2025-01-05 03:20:12,25.15,39.09
H5074_office,2025-01-05 03:20:28,25.12,39.04
H5074_office,2025-01-05 03:20:44,25.1,38.93
H5074_office,2025-01-05 03:21:00,25.12,39.19
H5074_office,2025-01-05 03:21:16,25.12,39.07
